Date,Open,High,Low,Close,Volume,Adj Close
2010-11-04,12.0,12.12,11.5,11.85,7605800,7.4623729999999995
2010-11-05,11.85,11.85,11.1,11.75,1046900,7.399399000000001
2010-11-08,11.33,11.58,11.17,11.4,573000,7.178991000000001
2010-11-09,11.27,11.49,10.61,11.0,1185700,6.927097
2010-11-10,10.85,10.93,10.63,10.8,653700,6.80115
2010-11-11,10.75,10.88,10.55,10.75,438900,6.769663
2010-11-12,10.75,11.03,10.68,11.0,116600,6.927097
2010-11-15,11.0,11.39,10.99,11.1,226900,6.990071
2010-11-16,11.06,11.35,10.79,10.95,323500,6.8956100000000005
2010-11-17,10.95,11.0,10.62,10.8,221400,6.80115
2010-11-18,10.85,11.68,10.55,11.21,587800,7.059341000000001
2010-11-19,11.2,11.35,11.05,11.19,82600,7.046746000000001
2010-11-22,11.06,11.18,10.92,10.95,131100,6.8956100000000005
2010-11-23,10.95,11.25,10.82,11.08,123900,6.977475999999999
2010-11-24,11.16,11.26,11.07,11.21,97400,7.059341000000001
2010-11-26,11.13,11.38,11.01,11.23,46000,7.071936
2010-11-29,11.15,11.39,11.09,11.37,160000,7.160099000000001
2010-11-30,11.42,11.52,11.11,11.32,141800,7.1286119999999995
2010-12-01,11.33,11.68,11.33,11.65,564300,7.336425
2010-12-02,11.7,12.0,11.7,11.98,711300,7.544238000000001
2010-12-03,11.87,11.98,11.85,11.96,373600,7.531642999999999
2010-12-06,11.9,11.94,11.77,11.77,237900,7.411994
2010-12-07,11.44,11.87,11.33,11.75,290000,7.399399000000001
2010-12-08,11.69,12.0,11.63,11.91,315700,7.500156
2010-12-09,11.69,12.2,11.69,12.04,323500,7.582022
2010-12-10,11.9,12.34,11.9,12.34,391900,7.770942999999999
2010-12-13,12.45,12.6,12.2,12.27,423700,7.726862
2010-12-14,12.61,12.86,12.54,12.75,778000,8.029135
2010-12-15,12.8,13.0,12.61,12.77,451300,8.041730000000001
2010-12-16,12.8,12.95,12.53,12.85,193300,8.092108999999999
2010-12-17,12.98,13.0,12.78,12.78,285800,8.048027000000001
2010-12-20,13.02,13.13,12.94,13.06,252200,8.224353
2010-12-21,13.14,13.44,13.1,13.37,306400,8.419571000000001
2010-12-22,13.45,13.7,13.43,13.52,496800,8.514032
2010-12-23,13.68,13.77,13.25,13.33,423500,8.394382
2010-12-27,13.24,13.91,13.24,13.66,104100,8.602195
2010-12-28,13.75,13.85,13.71,13.85,106800,8.721845
2010-12-29,13.85,14.07,13.84,13.99,155100,8.810007
2010-12-30,14.1,14.37,14.06,14.27,144200,8.986334
2010-12-31,14.4,14.5,14.2,14.46,150800,9.105984
2011-01-03,14.6,14.7,14.32,14.39,188800,9.061902
2011-01-04,14.48,14.61,14.16,14.33,203600,9.024118
2011-01-05,14.35,14.61,14.35,14.5,365800,9.131173
2011-01-06,14.55,14.56,14.38,14.54,138500,9.156362
2011-01-07,14.55,14.73,14.5,14.73,131800,9.276012
2011-01-10,14.65,14.81,14.38,14.56,176100,9.168957
2011-01-11,14.55,15.0,14.5,14.86,259700,9.357878
2011-01-12,14.88,15.16,14.76,15.05,270300,9.477528
2011-01-13,15.02,15.27,14.85,15.16,149700,9.546799
2011-01-14,15.12,15.22,14.89,14.98,118700,9.433446
2011-01-18,15.0,15.19,14.98,15.0,79400,9.446041000000001
2011-01-19,15.05,15.2,14.97,15.03,348900,9.464933
2011-01-20,15.0,15.18,14.51,14.99,187000,9.439743
2011-01-21,15.1,15.1,14.78,14.97,133700,9.427149
2011-01-24,14.98,15.13,14.65,14.97,247500,9.427149
2011-01-25,15.0,15.2,14.92,15.02,349700,9.458636
2011-01-26,14.83,15.05,14.8,15.0,240400,9.605927000000001
2011-01-27,15.1,15.15,15.02,15.1,145000,9.669966
2011-01-28,15.0,15.25,14.92,15.22,161700,9.746814
2011-01-31,15.05,15.32,15.05,15.3,223500,9.798045
2011-02-01,15.5,15.64,15.36,15.54,203400,9.95174
2011-02-02,15.56,15.76,15.54,15.67,223900,10.034991
2011-02-03,15.64,15.73,15.62,15.69,258400,10.047799000000001
2011-02-04,15.69,15.81,15.52,15.66,253300,10.028587
2011-02-07,15.66,15.72,15.5,15.62,205800,10.002971
2011-02-08,15.58,15.69,15.4,15.57,108700,9.970952
