Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,42.4375,42.5,41.875,42.1875,305200,8.367604
2000-01-04,41.875,41.9375,41.5,41.875,492600,8.305622
2000-01-05,41.5,42.75,41.5,42.75,580400,8.479172
2000-01-06,42.5,43.4375,42.5,43.1875,687600,8.565947
2000-01-07,43.5,44.3125,43.4375,44.0,724400,8.727101
2000-01-10,44.0,44.5,43.875,44.3125,626600,8.789083
2000-01-11,44.375,44.5,43.8125,44.0625,530800,8.739497
2000-01-12,44.0625,44.125,43.75,43.875,430400,8.702308
2000-01-13,43.875,43.9375,43.375,43.375,453200,8.603136
2000-01-14,43.125,43.625,42.625,42.625,437000,8.454379
2000-01-18,42.5,42.5625,41.8125,42.25,669600,8.38
2000-01-19,42.0,42.5,42.0,42.4375,673600,8.41719
2000-01-20,42.25,42.875,42.1875,42.1875,439600,8.367604
2000-01-21,42.1875,42.625,42.125,42.625,338200,8.454379
2000-01-24,42.5,42.5625,42.0625,42.125,465600,8.355207
2000-01-25,42.0625,42.375,42.0,42.0625,708600,8.342811
2000-01-26,42.0,42.375,41.25,42.125,875400,8.355207
2000-01-27,42.0,42.25,41.6875,42.25,362000,8.38
2000-01-28,42.3125,42.3125,41.625,41.875,330800,8.305622
2000-01-31,42.0,42.0625,41.5,41.5,419400,8.231243
2000-02-01,41.5,42.0,41.4375,42.0,365800,8.330414999999999
2000-02-02,41.75,42.1875,41.75,41.9375,374400,8.318017999999999
2000-02-03,41.75,42.0625,41.5,41.6875,992000,8.268432
2000-02-04,41.5625,41.9375,41.5625,41.75,290800,8.280828999999999
2000-02-07,41.375,41.875,41.375,41.625,254800,8.256036
2000-02-08,41.6875,42.0,41.5625,41.875,533600,8.305622
2000-02-09,41.9375,42.0,41.625,41.6875,282800,8.268432
2000-02-10,41.5,41.6875,40.875,40.9375,554400,8.119675
2000-02-11,41.0,41.375,40.4375,40.5,921000,8.0329
2000-02-14,39.0,40.5,39.0,40.125,693800,7.958521000000001
2000-02-15,40.0,40.25,39.875,40.1875,665400,7.970917
